employee_id,department,manager_leadership_style,pers_openness,pers_conscientiousness,pers_extraversion,pers_agreeableness,pers_neuroticism,work_flexibility_preference,years_at_company,p_o_fit_score,fit_eligibility_class
EMP_0001,Data Science,Supportive,2.56,3.41,2.71,3.73,3.33,1,2.2,50.4,Moderate
EMP_0002,Product,Democratic,2.81,3.74,2.89,3.96,2.71,5,10.0,40.9,Low
EMP_0003,Marketing,Autocratic/Micromanagement,3.87,4.69,2.37,2.97,3.22,3,1.2,44.8,Low
EMP_0004,Sales,Supportive,2.78,4.11,2.49,2.37,1.89,2,3.9,26.0,Low
EMP_0005,Engineering,Autocratic/Micromanagement,4.38,2.82,3.55,2.98,2.81,4,1.3,14.4,Low
EMP_0006,Engineering,Supportive,3.55,2.74,3.31,3.91,2.14,3,1.3,46.9,Moderate
EMP_0007,Engineering,Autocratic/Micromanagement,3.66,3.76,3.59,4.77,1.72,3,6.5,35.4,Low
EMP_0008,Product,Autocratic/Micromanagement,3.41,3.07,3.37,3.24,2.01,4,5.4,41.5,Low
EMP_0009,Marketing,Supportive,4.14,4.19,3.76,4.87,2.26,5,1.2,50.6,Moderate
EMP_0010,Marketing,Democratic,4.15,3.83,3.9,4.0,3.7,1,0.5,43.2,Low
EMP_0011,Engineering,Supportive,3.83,3.9,1.81,2.66,2.24,2,1.5,54.4,Moderate
EMP_0012,Product,Democratic,4.0,3.38,2.52,3.63,1.68,1,5.0,39.9,Low
EMP_0013,HR,Democratic,3.45,4.84,3.01,4.02,2.81,1,0.5,39.8,Low
EMP_0014,Engineering,Democratic,3.98,5.0,3.18,2.04,2.72,5,3.9,43.6,Low
EMP_0015,Engineering,Supportive,3.36,3.63,2.66,3.89,2.31,5,7.7,50.3,Moderate
EMP_0016,Engineering,Supportive,3.6,4.01,3.93,4.2,2.57,4,0.7,63.9,Moderate
EMP_0017,Data Science,Supportive,3.41,3.86,4.78,3.74,3.48,4,6.9,39.8,Low
EMP_0018,Sales,Supportive,3.28,3.64,3.35,3.46,3.24,5,0.5,44.4,Low
EMP_0019,Sales,Democratic,3.12,3.3,3.27,3.4,3.17,1,3.8,32.3,Low
EMP_0020,Data Science,Autocratic/Micromanagement,3.93,3.15,3.88,3.36,1.75,2,5.5,37.5,Low
EMP_0021,Marketing,Democratic,4.52,3.12,1.71,2.79,5.0,3,2.1,30.9,Low
EMP_0022,Engineering,Democratic,4.42,4.04,3.22,3.09,3.54,5,0.8,54.2,Moderate
EMP_0023,Data Science,Autocratic/Micromanagement,2.72,3.49,3.98,3.25,3.11,3,9.1,38.6,Low
EMP_0024,Data Science,Democratic,4.5,2.25,2.69,3.57,1.77,3,0.5,24.8,Low
EMP_0025,Sales,Autocratic/Micromanagement,3.38,4.07,2.22,3.17,3.46,2,2.8,16.1,Low
EMP_0026,HR,Democratic,4.02,3.78,3.05,2.98,2.3,4,1.6,37.6,Low
EMP_0027,Engineering,Supportive,2.97,4.61,3.15,3.96,2.54,5,2.2,62.5,Moderate
EMP_0028,Sales,Supportive,3.7,4.02,2.47,3.72,1.36,3,2.7,34.5,Low
EMP_0029,Sales,Democratic,3.82,2.91,4.88,3.18,1.71,4,2.7,59.6,Moderate
EMP_0030,Engineering,Supportive,2.56,2.46,2.82,3.8,3.05,3,0.8,30.3,Low
EMP_0031,Marketing,Supportive,4.03,3.37,2.28,3.23,3.5,4,4.0,48.1,Moderate
EMP_0032,Engineering,Democratic,4.54,3.42,3.13,3.54,3.25,3,0.5,28.4,Low
EMP_0033,Engineering,Democratic,3.48,4.37,3.93,4.09,3.22,3,0.5,47.1,Moderate
EMP_0034,Product,Democratic,4.55,3.79,3.21,3.14,2.65,3,2.3,42.4,Low
EMP_0035,Product,Supportive,3.47,4.48,3.59,2.8,2.37,1,2.7,53.7,Moderate
EMP_0036,HR,Supportive,4.19,3.01,2.5,3.41,2.93,5,1.1,40.8,Low
EMP_0037,Data Science,Democratic,2.05,4.38,4.39,2.68,3.36,5,2.8,51.4,Moderate
EMP_0038,Engineering,Autocratic/Micromanagement,5.0,4.23,3.65,3.33,2.7,3,2.5,36.5,Low
EMP_0039,Marketing,Democratic,4.65,2.59,4.04,3.33,3.67,2,1.5,29.9,Low
EMP_0040,Sales,Autocratic/Micromanagement,3.4,4.59,3.49,2.02,2.53,4,3.7,40.4,Low
EMP_0041,Engineering,Autocratic/Micromanagement,2.22,3.86,3.86,3.82,1.92,3,11.1,33.5,Low
EMP_0042,Sales,Democratic,3.8,4.04,2.5,3.39,2.69,3,2.4,18.3,Low
EMP_0043,Engineering,Supportive,2.59,3.28,2.81,4.21,2.78,1,5.4,50.5,Moderate
EMP_0044,Product,Democratic,3.91,4.57,4.28,3.63,2.63,5,1.0,38.3,Low
EMP_0045,Data Science,Democratic,3.89,3.09,4.45,3.94,3.72,4,5.0,33.7,Low
EMP_0046,Marketing,Democratic,2.94,4.3,2.28,4.21,3.34,5,3.7,34.1,Low
EMP_0047,Data Science,Democratic,4.38,4.29,3.4,3.42,1.56,3,3.6,60.7,Moderate
EMP_0048,Sales,Democratic,4.16,3.22,2.86,3.5,3.93,4,7.8,20.2,Low
EMP_0049,Sales,Supportive,4.28,4.99,2.64,2.56,1.0,4,0.9,44.5,Low
EMP_0050,Engineering,Democratic,3.61,3.94,3.43,4.24,4.42,3,1.6,30.7,Low
EMP_0051,Product,Supportive,2.61,4.19,4.11,3.41,2.47,5,0.5,46.9,Moderate
EMP_0052,HR,Autocratic/Micromanagement,4.28,2.88,3.56,2.9,2.55,5,4.5,17.7,Low
EMP_0053,Product,Supportive,3.41,5.0,2.94,3.94,2.65,5,6.5,42.8,Low
EMP_0054,Product,Supportive,2.63,3.07,3.61,2.19,3.01,4,1.8,44.4,Low
EMP_0055,Sales,Democratic,4.55,4.41,2.91,3.24,2.7,4,1.5,19.8,Low
EMP_0056,Product,Democratic,5.0,3.2,3.53,4.04,2.59,4,3.8,46.4,Moderate
EMP_0057,Engineering,Democratic,3.57,3.43,4.32,3.24,3.75,5,0.5,27.9,Low
EMP_0058,Engineering,Supportive,5.0,4.27,1.54,3.07,3.15,3,1.2,66.0,Moderate
EMP_0059,Engineering,Democratic,3.66,4.42,3.84,3.25,1.93,2,1.6,55.0,Moderate
EMP_0060,Data Science,Supportive,3.33,3.04,1.97,2.29,3.29,4,2.6,44.2,Low
EMP_0061,Data Science,Autocratic/Micromanagement,3.16,4.45,4.18,3.93,3.12,5,2.3,53.0,Moderate
EMP_0062,Data Science,Autocratic/Micromanagement,4.75,4.43,2.69,3.43,2.26,3,0.8,29.7,Low
EMP_0063,HR,Democratic,3.05,3.24,2.23,3.34,3.33,4,2.7,31.0,Low
EMP_0064,Data Science,Supportive,4.11,4.76,3.76,3.34,2.57,3,9.1,57.2,Moderate
EMP_0065,Data Science,Democratic,3.21,2.93,3.49,3.51,2.52,5,0.5,36.8,Low
EMP_0066,Sales,Supportive,3.28,3.43,2.4,3.89,2.5,4,4.0,29.2,Low
EMP_0067,Engineering,Democratic,4.32,4.09,2.2,3.47,1.0,4,3.4,67.1,Moderate
EMP_0068,HR,Supportive,3.33,3.29,3.05,2.68,2.28,4,9.0,46.8,Moderate
EMP_0069,Engineering,Autocratic/Micromanagement,3.32,3.96,2.24,3.85,3.27,5,3.6,23.4,Low
EMP_0070,Product,Supportive,4.39,3.94,2.35,3.8,2.68,5,3.4,46.3,Moderate
EMP_0071,HR,Democratic,4.72,3.69,3.29,3.62,1.67,5,5.1,46.5,Moderate
EMP_0072,Engineering,Democratic,4.05,4.3,2.43,4.15,3.47,1,1.1,57.5,Moderate
EMP_0073,Engineering,Democratic,3.14,3.66,3.54,3.52,2.46,2,3.2,37.8,Low
EMP_0074,HR,Supportive,3.24,3.94,4.39,4.17,1.72,5,2.6,49.7,Moderate
EMP_0075,Marketing,Autocratic/Micromanagement,3.66,4.49,3.08,4.34,4.46,5,2.0,29.9,Low
EMP_0076,Marketing,Democratic,3.82,4.27,3.3,3.85,1.86,3,0.5,43.7,Low
EMP_0077,HR,Democratic,2.91,4.27,4.81,3.05,3.4,1,1.2,29.1,Low
EMP_0078,Engineering,Supportive,4.11,3.11,2.25,3.42,2.08,3,1.1,49.4,Moderate
EMP_0079,Data Science,Democratic,3.66,4.11,4.15,4.24,2.81,3,4.5,52.1,Moderate
EMP_0080,Engineering,Democratic,2.4,3.27,4.06,2.6,1.98,4,8.9,41.3,Low
EMP_0081,Product,Supportive,2.95,3.03,3.88,3.26,1.71,1,0.9,51.6,Moderate
EMP_0082,Marketing,Supportive,3.25,3.76,4.23,3.29,3.12,2,0.5,41.3,Low
EMP_0083,Data Science,Autocratic/Micromanagement,3.55,3.26,3.42,2.98,3.02,5,15.0,38.1,Low
EMP_0084,Engineering,Supportive,4.92,4.27,2.73,4.02,3.62,2,4.1,58.5,Moderate
EMP_0085,Data Science,Supportive,3.77,4.29,4.08,3.73,2.67,4,7.6,62.7,Moderate
EMP_0086,Data Science,Democratic,3.01,2.66,4.11,3.07,4.48,3,0.5,24.4,Low
EMP_0087,Marketing,Autocratic/Micromanagement,3.75,3.3,4.08,3.86,2.91,4,5.6,40.1,Low
EMP_0088,Marketing,Supportive,3.35,2.92,3.24,3.4,3.15,1,5.9,41.1,Low
EMP_0089,Product,Democratic,3.83,3.52,2.63,2.97,1.61,3,0.6,50.8,Moderate
EMP_0090,Sales,Supportive,4.01,4.07,3.35,3.07,2.21,3,0.6,44.2,Low
EMP_0091,Engineering,Supportive,4.45,3.65,3.95,3.76,3.12,5,1.2,49.8,Moderate
EMP_0092,Marketing,Supportive,3.58,3.45,4.02,4.06,2.63,4,0.9,38.6,Low
EMP_0093,HR,Autocratic/Micromanagement,4.75,4.58,2.86,3.21,2.85,1,13.0,7.9,Low
EMP_0094,Sales,Supportive,4.24,2.42,3.45,3.83,2.05,5,1.6,48.0,Moderate
EMP_0095,HR,Supportive,3.1,4.54,2.15,4.45,2.8,1,5.0,36.1,Low
EMP_0096,Sales,Democratic,5.0,3.47,3.99,2.74,2.79,5,5.7,41.1,Low
EMP_0097,Sales,Autocratic/Micromanagement,3.83,3.75,2.57,3.71,1.76,2,1.7,27.0,Low
EMP_0098,Sales,Supportive,3.02,3.48,3.83,4.0,3.21,3,4.0,52.6,Moderate
EMP_0099,Engineering,Democratic,4.76,4.73,2.28,3.44,1.34,1,0.5,58.1,Moderate
EMP_0100,Engineering,Supportive,5.0,3.06,4.03,4.24,2.85,4,1.8,48.4,Moderate
EMP_0101,Engineering,Democratic,3.58,3.81,3.46,4.82,4.11,3,12.0,30.2,Low
EMP_0102,Marketing,Democratic,3.25,4.12,2.57,3.71,3.24,3,0.6,31.1,Low
EMP_0103,Data Science,Democratic,3.48,2.83,3.75,3.36,3.24,1,1.7,33.4,Low
EMP_0104,Sales,Supportive,4.1,3.25,2.73,4.09,1.98,5,5.5,30.1,Low
EMP_0105,Product,Supportive,4.49,3.71,3.8,4.01,4.12,5,3.8,43.4,Low
EMP_0106,Engineering,Supportive,4.0,3.27,2.98,1.99,3.8,4,3.5,41.4,Low
EMP_0107,Sales,Supportive,3.67,3.31,1.82,3.5,2.03,4,6.7,35.4,Low
EMP_0108,HR,Supportive,4.65,3.59,2.41,3.26,2.32,4,0.5,63.7,Moderate
EMP_0109,Engineering,Autocratic/Micromanagement,3.38,4.19,2.86,3.74,3.7,2,5.2,46.3,Moderate
EMP_0110,Engineering,Autocratic/Micromanagement,4.32,3.59,4.29,3.38,4.14,5,7.5,14.9,Low
EMP_0111,Data Science,Autocratic/Micromanagement,3.4,4.45,3.92,3.45,1.69,3,0.5,57.1,Moderate
EMP_0112,Engineering,Autocratic/Micromanagement,3.9,3.2,4.5,2.98,1.9,4,2.9,47.2,Moderate
EMP_0113,Product,Democratic,3.52,3.05,4.52,3.94,2.58,4,1.5,39.6,Low
EMP_0114,HR,Democratic,3.56,4.96,2.77,4.49,1.0,4,0.5,44.1,Low
EMP_0115,Marketing,Supportive,3.34,3.41,3.05,2.99,2.72,5,1.9,59.2,Moderate
EMP_0116,Product,Democratic,4.54,3.01,2.87,2.66,3.65,3,3.6,29.3,Low
EMP_0117,HR,Democratic,3.09,2.75,2.66,3.51,1.55,4,8.8,42.1,Low
EMP_0118,Engineering,Democratic,3.08,4.45,1.73,3.48,2.8,4,3.4,57.0,Moderate
EMP_0119,Product,Autocratic/Micromanagement,5.0,3.6,3.19,4.2,2.23,1,6.8,17.9,Low
EMP_0120,Sales,Supportive,4.28,3.65,2.17,2.76,4.01,3,0.5,30.8,Low
EMP_0121,HR,Supportive,1.93,3.7,3.17,3.18,2.24,5,0.8,47.5,Moderate
EMP_0122,Product,Autocratic/Micromanagement,3.2,4.41,4.89,2.21,3.92,3,12.3,37.4,Low
EMP_0123,Data Science,Supportive,2.33,3.69,2.79,4.32,2.22,3,7.6,54.9,Moderate
EMP_0124,Engineering,Democratic,2.93,5.0,3.36,3.65,3.32,3,0.9,49.6,Moderate
EMP_0125,Engineering,Autocratic/Micromanagement,1.4,3.88,3.93,3.22,2.9,4,3.4,31.9,Low
EMP_0126,Sales,Democratic,3.5,4.44,3.42,2.71,2.59,5,1.6,36.4,Low
EMP_0127,HR,Democratic,2.8,4.28,3.43,2.76,2.07,2,2.2,40.6,Low
EMP_0128,Product,Supportive,3.64,3.78,2.91,3.75,2.96,3,6.9,51.1,Moderate
EMP_0129,Engineering,Supportive,2.46,3.45,3.01,2.84,2.35,3,4.7,51.0,Moderate
EMP_0130,Sales,Autocratic/Micromanagement,3.66,4.0,2.43,3.56,2.15,3,1.0,28.0,Low
EMP_0131,Sales,Democratic,3.31,4.11,3.88,4.73,3.88,5,1.3,34.3,Low
EMP_0132,Engineering,Democratic,4.65,3.46,1.81,3.29,3.14,1,1.2,40.1,Low
EMP_0133,Engineering,Supportive,4.59,3.9,3.98,2.92,3.21,2,5.3,44.6,Low
EMP_0134,Data Science,Supportive,4.15,4.54,2.08,3.73,2.39,4,2.4,65.1,Moderate
EMP_0135,Product,Autocratic/Micromanagement,3.37,5.0,3.97,2.76,2.55,3,10.5,38.7,Low
EMP_0136,Data Science,Supportive,4.99,4.31,2.92,4.53,2.5,4,5.9,61.6,Moderate
EMP_0137,Sales,Democratic,2.51,4.92,2.21,4.34,2.97,5,0.8,26.7,Low
EMP_0138,Marketing,Supportive,2.62,3.42,3.66,3.4,3.21,3,5.4,50.5,Moderate
EMP_0139,Data Science,Democratic,3.54,4.22,3.94,2.96,2.68,2,2.5,59.0,Moderate
EMP_0140,Product,Autocratic/Micromanagement,5.0,4.6,2.85,3.24,2.07,2,1.0,18.9,Low
EMP_0141,Product,Democratic,3.46,3.26,3.78,3.32,3.31,2,1.6,36.9,Low
EMP_0142,Data Science,Supportive,3.47,3.51,1.37,3.73,2.73,3,12.5,53.2,Moderate
EMP_0143,Sales,Democratic,2.59,4.84,2.14,4.12,1.55,5,2.3,35.5,Low
EMP_0144,Data Science,Autocratic/Micromanagement,4.26,3.21,4.23,2.88,1.0,4,4.5,20.0,Low
EMP_0145,Data Science,Democratic,4.27,3.0,3.02,4.11,2.94,1,2.3,36.8,Low
EMP_0146,Engineering,Autocratic/Micromanagement,4.15,4.72,1.71,3.87,2.04,5,1.6,36.9,Low
EMP_0147,Marketing,Democratic,3.16,4.52,2.64,3.2,3.04,1,5.6,44.3,Low
EMP_0148,Sales,Autocratic/Micromanagement,3.11,4.06,2.46,2.85,2.08,4,6.6,14.6,Low
