employee_id,department,manager_leadership_style,pers_openness,pers_conscientiousness,pers_extraversion,pers_agreeableness,pers_neuroticism,work_flexibility_preference,years_at_company,p_o_fit_score,fit_eligibility_class
EMP_00001,Engineering,Democratic,3.68,4.54,4.23,3.73,1.86,3,2.4,59.8,Moderate
EMP_00002,Data Science,Supportive,4.15,4.31,2.51,2.81,2.55,2,9.8,61.8,Moderate
EMP_00003,Product Management,Supportive,3.44,4.03,1.87,2.79,1.5,5,4.2,59.0,Moderate
EMP_00004,Engineering,Supportive,2.84,4.3,3.47,3.26,3.13,4,3.5,62.5,Moderate
EMP_00005,Sales,Autocratic/Micromanagement,4.33,3.95,2.5,3.34,2.93,3,9.8,21.4,Low
EMP_00006,Product Management,Democratic,4.19,3.55,3.21,3.25,3.3,4,20.0,37.0,Low
EMP_00007,Engineering,Democratic,4.54,4.42,2.83,5.0,2.35,4,2.3,57.1,Moderate
EMP_00008,Product Management,Democratic,3.32,4.14,2.92,4.05,2.6,5,2.7,38.5,Low
EMP_00009,Sales,Supportive,3.88,3.8,3.84,3.19,2.9,4,8.8,57.4,Moderate
EMP_00010,Marketing,Democratic,4.21,3.81,3.58,4.05,1.57,1,11.9,49.6,Moderate
EMP_00011,Data Science,Autocratic/Micromanagement,3.53,3.82,3.56,3.84,3.42,4,5.4,31.9,Low
EMP_00012,Data Science,Autocratic/Micromanagement,3.94,4.55,3.37,3.77,2.62,4,7.0,54.7,Moderate
EMP_00013,Engineering,Supportive,3.95,4.54,3.32,1.66,2.33,3,0.7,71.4,Moderate
EMP_00014,Product Management,Democratic,2.6,2.91,2.77,4.5,2.31,3,5.2,45.8,Moderate
EMP_00015,Engineering,Supportive,3.4,4.03,2.86,3.01,4.11,3,0.5,46.1,Moderate
EMP_00016,Data Science,Autocratic/Micromanagement,3.8,4.36,1.7,3.51,2.2,1,7.4,58.1,Moderate
EMP_00017,Sales,Democratic,3.39,3.55,3.87,3.13,1.71,3,9.2,46.8,Moderate
EMP_00018,Data Science,Supportive,4.55,4.07,2.69,3.63,2.65,3,1.2,44.5,Low
EMP_00019,Marketing,Autocratic/Micromanagement,4.26,3.76,2.49,3.65,3.15,4,0.5,24.4,Low
EMP_00020,Product Management,Democratic,3.85,4.17,1.43,2.87,1.1,3,10.8,49.5,Moderate
EMP_00021,Engineering,Democratic,4.58,3.84,3.33,3.63,1.17,4,0.5,49.4,Moderate
EMP_00022,Engineering,Democratic,3.24,3.57,2.65,3.43,1.94,1,2.8,41.8,Low
EMP_00023,Engineering,Supportive,3.65,3.68,2.4,3.61,4.01,3,4.4,44.4,Low
EMP_00024,Sales,Supportive,4.0,3.3,3.34,4.0,1.64,4,2.6,55.6,Moderate
EMP_00025,Engineering,Autocratic/Micromanagement,3.25,3.62,3.41,3.53,2.48,4,9.4,37.6,Low
EMP_00026,Product Management,Democratic,3.18,3.42,3.03,4.4,1.98,1,3.1,39.4,Low
EMP_00027,Engineering,Democratic,3.32,3.61,2.22,3.15,3.69,2,4.2,29.2,Low
EMP_00028,Engineering,Democratic,5.0,3.66,3.21,4.37,2.2,3,1.8,52.6,Moderate
EMP_00029,Sales,Autocratic/Micromanagement,3.91,4.12,3.2,2.7,2.8,4,19.8,39.7,Low
EMP_00030,Marketing,Supportive,3.97,4.24,3.08,3.52,3.38,3,5.9,45.1,Moderate
EMP_00031,HR,Supportive,4.71,4.14,2.69,4.14,3.35,4,12.1,46.5,Moderate
EMP_00032,Marketing,Supportive,4.04,3.39,1.99,3.2,3.03,2,4.9,42.1,Low
EMP_00033,Sales,Supportive,4.74,3.5,4.21,2.73,1.4,5,0.5,67.8,Moderate
